net,length_um
_179_,209.52
net3,189.42
_222_,186.68
net6,180.25
_190_,176.015
_197_,162.56
_182_,158.42
net7,157.075
net2,154.02
net15,142.39
_053_,137.24
net19,136.4
_242_,133.33
_193_,129.72
_232_,121.18
_202_,119.38
_199_,116.78
_230_,111.31
net8,110.34
net4,107.16
_187_,105.22
_185_,104.3
_218_,103.14
_210_,101.54
_021_,94.62
net1,86.52
net26,83.02
_191_,82.405
_006_,73.08
net10,71.92
net18,69.06
net5,67.9
_181_,64.5
net24,63.38
net21,61.8
_070_,60.05
_207_,59.735
net16,58.9
net27,57.82
net13,56.14
_156_,52.42
_196_,52.24
net17,50.095
_186_,49.22
_109_,46.83
_025_,46.82
_226_,45.7
_068_,44.26
_102_,40.66
net12,39.76
net33,39.5
_244_,38.4
_045_,37.56
_031_,36.82
net30,34.82
_074_,33.78
_101_,32.02
_084_,31.98
_140_,31.88
_141_,30.38
_058_,30.16
_115_,29.88
_206_,29.56
_054_,29.36
net31,28.675
_023_,28.2
_020_,27.94
_013_,27.695
_153_,27.12
_056_,26.64
_216_,26.28
_098_,26.18
_093_,26.16
_121_,25.46
net9,25.42
_173_,24.6
_090_,24.52
_166_,24.14
_001_,22.92
_011_,22.68
_165_,22.6
_139_,22.04
_152_,21.89
_042_,21.82
_092_,21.78
_016_,20.56
_079_,20.2
_091_,19.74
_123_,19.24
_111_,19.12
_172_,19.12
_073_,18.92
_088_,18.24
_036_,18.22
_124_,17.76
_174_,17.54
_029_,17.48
_035_,17.38
_220_,17.14
_184_,16.86
_077_,16.68
_208_,16.56
_118_,16.54
net22,16.54
_060_,16.46
_164_,16.1
_034_,15.88
_241_,15.64
net28,15.62
_213_,15.58
net11,15.22
_122_,15.02
_032_,14.92
_081_,14.9
_046_,14.88
_116_,14.84
_017_,14.78
_097_,14.78
_104_,14.44
_120_,14.3
_038_,14.22
_215_,14.075
_022_,13.73
_170_,13.58
_231_,13.54
_150_,13.4
_033_,13.06
_125_,13.02
b[7],12.98
y[3],12.94
sel[2],12.84
_039_,12.82
_113_,12.68
a[3],12.6
_075_,12.34
y[6],12.33
_048_,12.16
_243_,12.14
b[2],12.13
_198_,11.76
y[4],11.72
_227_,11.7
b[4],11.68
_110_,11.62
_024_,11.535
_137_,11.48
_128_,11.34
a[5],11.34
_157_,11.24
_040_,10.96
b[0],10.88
_103_,10.8
a[7],10.76
b[3],10.76
_127_,10.74
_080_,10.7
_211_,10.52
_229_,10.355
_238_,10.3
_108_,10.2
net32,10.16
_094_,10.08
_133_,10
_037_,9.96
_055_,9.94
_151_,9.9
_051_,9.88
_119_,9.82
_064_,9.78
net34,9.64
_223_,9.58
_112_,9.44
net23,9.4
_107_,9.36
_246_,9.36
_247_,9.34
sel[0],9.3
a[4],9.18
_145_,9.12
_114_,8.98
_082_,8.94
_176_,8.9
_240_,8.9
net29,8.72
_015_,8.62
_076_,8.52
b[1],8.26
_095_,8.12
_008_,8.1
_154_,8.1
_189_,8.02
_009_,7.98
_163_,7.94
_183_,7.78
_071_,7.76
_028_,7.7
_078_,7.66
_200_,7.58
_086_,7.56
_083_,7.54
_106_,7.53
_236_,7.38
a[1],7.23
_010_,7.18
_043_,7.18
_014_,7.12
_052_,7.06
_096_,7.06
_245_,7.06
_161_,6.86
_131_,6.78
_160_,6.76
_061_,6.74
_085_,6.74
_217_,6.54
b[5],6.43
_167_,6.4
_214_,6.3
_117_,6.26
y[5],6.21
_212_,6.2
_149_,6.18
_221_,6.18
_146_,6.14
b[6],6.09
y[7],6.09
_239_,6.06
a[2],5.87
_100_,5.86
_007_,5.84
_030_,5.78
y[1],5.75
_126_,5.72
_069_,5.62
net35,5.48
y[0],5.41
_158_,5.38
_201_,5.34
_209_,5.34
_168_,5.28
_026_,5.26
_136_,5.14
sel[1],4.95
_019_,4.88
_057_,4.8
_155_,4.795
_134_,4.76
a[0],4.73
a[6],4.73
_012_,4.6
_224_,4.56
_000_,4.48
_004_,4.46
_143_,4.46
_130_,4.42
_237_,4.42
y[2],4.39
_018_,4.32
_162_,4.14
_066_,4.12
_105_,4.02
_147_,4.02
_195_,4.02
_002_,4
_089_,3.9
_204_,3.88
_235_,3.88
_194_,3.68
_233_,3.68
_144_,3.56
_188_,3.56
_205_,3.56
_059_,3.54
_138_,3.54
_062_,3.42
_142_,3.42
_203_,3.42
_228_,3.42
_072_,3.22
_159_,3.22
_067_,3.1
_005_,3.08
_169_,3.08
_180_,3.08
_063_,3.06
_175_,3.06
_027_,2.96
_234_,2.96
_087_,2.76
_099_,2.62
_050_,2.52
_041_,2.5
_047_,2.5
_135_,2.5
_225_,2.5
_148_,2.3
_049_,2.18
_178_,2.16
_192_,2.16
_219_,2.16
_132_,2.06
_065_,2.04
_177_,2.04
_129_,1.915
_003_,1.84
net14,1.82
net20,1.82
net25,1.82
_171_,1.7
_044_,1.48
